Week,NT Book,NT Ch.,OT Book,OT Ch.,Psalms,Ps Ch.,Proverbs,Prov Ch.
68,John,5-8,2 Samuel,11-13,Psalms,5-7,Proverbs,3
69,John,9-12,2 Samuel,14-17,Psalms,8-9,Proverbs,4
70,John,13-17,2 Samuel,18-20,Psalms,10-11,Proverbs,5
71,John,18-21,2 Samuel,21-24,Psalms,12-14,Proverbs,6
72,Philippians,,1 Kings,1-4,Psalms,15-16,Proverbs,7
73,Matthew,1-4,1 Kings,5-8,Psalms,17-18,Proverbs,8
74,Matthew,5-8,1 Kings,9-11,Psalms,19-21,Proverbs,9
75,Matthew,9-12,1 Kings,12-16,Psalms,22-23,Proverbs,10
76,Matthew,13-16,1 Kings,17-19,Psalms,24-25,Proverbs,11
77,Matthew,17-20,1 Kings,20-22,Psalms,26-28,Proverbs,12
78,Matthew,21-24,2 Kings,1-3,Psalms,29-30,Proverbs,13
79,Matthew,25-28,2 Kings,4-7,Psalms,31-32,Proverbs,14
80,Colossians,,2 Kings,8-10,Psalms,33-35,Proverbs,15
81,Acts,1-4,2 Kings,11-14,Psalms,36-37,Proverbs,16
82,Acts,5-8,2 Kings,15-17,Psalms,38-39,Proverbs,17
83,Acts,9-12,2 Kings,18-21,Psalms,40-42,Proverbs,18
84,Acts,13-16,2 Kings,22-25,Psalms,43-44,Proverbs,19
85,Acts,17-20,1 Chronicles,1-5,Psalms,45-46,Proverbs,20
86,Acts,21-24,1 Chronicles,6-9,Psalms,47-49,,
87,Acts,25-28,1 Chronicles,10-12,Psalms,50-51,Proverbs,21
88,2 John,,1 Chronicles,13-17,Psalms,52-53,Proverbs,22
89,Galatians,,1 Chronicles,18-20,Psalms,54-56,Proverbs,23
90,3 John,,1 Chronicles,21-25,Psalms,57-58,Proverbs,24
91,Romans,1-4,1 Chronicles,26-29,Psalms,59-60,Proverbs,25
92,Romans,5-8,2 Chronicles,1-5,Psalms,61-63,Proverbs,26
93,Romans,9-12,2 Chronicles,6-9,Psalms,64-65,Proverbs,27
94,Romans,13-16,2 Chronicles,10-13,Psalms,66-67,Proverbs,28
95,Ephesians,,2 Chronicles,14-16,Psalms,68-70,Proverbs,29
96,Mark,1-4,2 Chronicles,17-21,Psalms,71-72,Proverbs,30
97,Mark,5-8,2 Chronicles,22-27,Psalms,73-74,Proverbs,31
98,Mark,9-12,2 Chronicles,28-32,Psalms,75-76,Proverbs,1
99,Mark,13-16,2 Chronicles,33-36,Psalms,77-78,Proverbs,2
100,James,,Ezra,1-6,Psalms,79-80,Proverbs,3
101,1 Corinthians,1-4,Ezra,7-10,Psalms,81-83,Proverbs,4
102,1 Corinthians,5-8,Nehemiah,1-3,Psalms,84-85,Proverbs,5
103,1 Corinthians,9-12,Nehemiah,4-7,Psalms,86-87,Proverbs,6
104,1 Corinthians,13-16,Nehemiah,8-10,Psalms,88-90,Proverbs,7
105,1 Thessalonians,,Nehemiah,11-13,Psalms,91-92,Proverbs,8
106,2 Corinthians,1-4,Esther,1-4,Psalms,93-94,Proverbs,9
107,2 Corinthians,5-9,Esther,5-10,Psalms,95-97,,
108,2 Corinthians,10-13,Job,1-3,Psalms,98-99,Proverbs,10
109,2 Thessalonians,,Job,4-7,Psalms,100-101,Proverbs,11
110,Luke,1-4,Job,8-10,Psalms,102-104,Proverbs,12
111,Luke,5-8,Job,11-14,Psalms,105-106,Proverbs,13
112,Luke,9-12,Job,15-17,Psalms,107-108,Proverbs,14
113,Luke,13-16,Job,18-21,Psalms,109-111,Proverbs,15
114,Luke,17-20,Job,22-26,Psalms,112-113,Proverbs,16
115,Luke,21-24,Job,27-31,Psalms,114-115,Proverbs,17
116,1 Timothy,,Job,32-34,Psalms,116-118,Proverbs,18
117,Hebrews,1-4,Job,35-37,Psalms,119-120,Proverbs,19
118,Hebrews,5-8,Job,38-40,Psalms,121-122,Proverbs,20
119,Hebrews,9-13,Job,41-42,Psalms,123-125,Proverbs,21
120,2 Timothy,,Ecclesiastes,1-4,Psalms,126-127,Proverbs,22
121,Titus,,Ecclesiastes,5-8,Psalms,128-129,Proverbs,23
122,Revelation,1-5,Ecclesiastes,9-12,Psalms,130-132,Proverbs,24
